name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
peter,0,1,5,0,0,pe,er,pet,ter
virgilio,0,1,8,0,1,vi,io,vir,lio
dony,0,1,4,0,0,do,ny,don,ony
gelacio,0,1,7,0,1,ge,io,gel,cio
antony,0,1,6,1,0,an,ny,ant,ony
ashmed,0,1,6,1,0,as,ed,ash,med
jerry,0,1,5,0,0,je,ry,jer,rry
alesis,0,1,6,1,0,al,is,ale,sis
freddie,0,1,7,0,1,fr,ie,fre,die
joyce,0,1,5,0,1,jo,ce,joy,yce
rold,0,1,4,0,0,ro,ld,rol,old
joshuabner,0,1,10,0,0,jo,er,jos,ner
hern,0,1,4,0,0,he,rn,her,ern
edgardo,0,1,7,1,1,ed,do,edg,rdo
darryl,0,1,6,0,0,da,yl,dar,ryl
joseph  iii,0,1,11,0,1,jo,ii,jos,iii
sergio,0,1,6,0,1,se,io,ser,gio
charley,0,1,7,0,0,ch,ey,cha,ley
marlon,0,1,6,0,0,ma,on,mar,lon
auguste,0,1,7,1,1,au,te,aug,ste
joel,0,1,4,0,0,jo,el,joe,oel
alcides,0,1,7,1,0,al,es,alc,des
timoteo,0,1,7,0,1,ti,eo,tim,teo
isaac,0,1,5,1,0,is,ac,isa,aac
darrell,0,1,7,0,0,da,ll,dar,ell
fermin,0,1,6,0,0,fe,in,fer,min
stanley,0,1,7,0,0,st,ey,sta,ley
able,0,1,4,1,1,ab,le,abl,ble
danny,0,1,5,0,0,da,ny,dan,nny
domieon,0,1,7,0,0,do,on,dom,eon
martin,0,1,6,0,0,ma,in,mar,tin
thaniel,0,1,7,0,0,th,el,tha,iel
onesimo,0,1,7,1,1,on,mo,one,imo
epigmenio,0,1,9,1,1,ep,io,epi,nio
enique,0,1,6,1,1,en,ue,eni,que
nilton,0,1,6,0,0,ni,on,nil,ton
james,0,1,5,0,0,ja,es,jam,mes
arthur,0,1,6,1,0,ar,ur,art,hur
rodrigues,0,1,9,0,0,ro,es,rod,ues
douglas,0,1,7,0,0,do,as,dou,las
rol,0,1,3,0,0,ro,ol,rol,rol
alfonso,0,1,7,1,1,al,so,alf,nso
kelvin,0,1,6,0,0,ke,in,kel,vin
rosendo,0,1,7,0,1,ro,do,ros,ndo
rigdel,0,1,6,0,0,ri,el,rig,del
eddie,0,1,5,1,1,ed,ie,edd,die
edwardo,0,1,7,1,1,ed,do,edw,rdo
edsel,0,1,5,1,0,ed,el,eds,sel
elvido,0,1,6,1,1,el,do,elv,ido
leo,0,1,3,0,1,le,eo,leo,leo
tracy,0,1,5,0,0,tr,cy,tra,acy
berto,0,1,5,0,1,be,to,ber,rto
eliu,0,1,4,1,1,el,iu,eli,liu
fulgencio,0,1,9,0,1,fu,io,ful,cio
ismael,0,1,6,1,0,is,el,ism,ael
jeriel,0,1,6,0,0,je,el,jer,iel
ezequiel,0,1,8,1,0,ez,el,eze,iel
juarez,0,1,6,0,0,ju,ez,jua,rez
juan miguel,0,1,11,0,0,ju,el,jua,uel
abimael,0,1,7,1,0,ab,el,abi,ael
avissmael,0,1,9,1,0,av,el,avi,ael
baltazar,0,1,8,0,0,ba,ar,bal,zar
jean,0,1,4,0,0,je,an,jea,ean
julian,0,1,6,0,0,ju,an,jul,ian
laudi,0,1,5,0,1,la,di,lau,udi
lorenzo,0,1,7,0,1,lo,zo,lor,nzo
marino  iii,0,1,11,0,1,ma,ii,mar,iii
romel,0,1,5,0,0,ro,el,rom,mel
socorro,0,1,7,0,1,so,ro,soc,rro
yanker,0,1,6,0,0,ya,er,yan,ker
yasmany,0,1,7,0,0,ya,ny,yas,any
eder,0,1,4,1,0,ed,er,ede,der
adalberto,0,1,9,1,1,ad,to,ada,rto
