name,gender,race,length
kerteshia,1,0,9
laura,1,0,5
opreail,1,0,7
audrey,1,0,6
bresha,1,0,6
dorothea,1,0,8
francesca,1,0,9
iesha,1,0,5
ivory,1,0,5
latrice,1,0,7
keitha,1,0,6
loretha,1,0,7
tawa,1,0,4
priscilla,1,0,9
liza,1,0,4
markida,1,0,7
ruthey,1,0,6
melodee,1,0,7
grace,1,0,5
betty,1,0,5
talira,1,0,6
jerrika,1,0,7
vanquesha,1,0,9
shavonni,1,0,8
elonda,1,0,6
holly,1,0,5
evelyn,1,0,6
tasya,1,0,5
myrtle,1,0,6
zebada,1,0,6
eunice,1,0,6
ereka,1,0,5
kenya,1,0,5
marguerite,1,0,10
penny,1,0,5
phillis,1,0,7
ronneka,1,0,7
law,1,0,3
bobbie,1,0,6
janell,1,0,6
kathleen,1,0,8
rosa,1,0,4
lakevia,1,0,7
lashonda,1,0,8
jeanie,1,0,6
fannie,1,0,6
lacynthia,1,0,9
tyra,1,0,4
makitta,1,0,7
lash,1,0,4
diashekia,1,0,9
dominque,1,0,8
shozanio,1,0,8
cherry,1,0,6
christine,1,0,9
derrise,1,0,7
lucretia,1,0,8
rocshelle,1,0,9
cheronda,1,0,8
lesh,1,0,4
ellen,1,0,5
ruthie,1,0,6
dionne,1,0,6
redessa,1,0,7
kelvi,1,0,5
tereasa,1,0,7
aliah,1,0,5
amber,1,0,5
loletha,1,0,7
makeba,1,0,6
lessie,1,0,6
roteia,1,0,6
octayvia,1,0,8
anecia,1,0,6
latoyia,1,0,7
arnesia,1,0,7
leshaw,1,0,6
jonbrika,1,0,8
omar,1,0,4
tajiri,1,0,6
akeelah,1,0,7
annjanette,1,0,10
baheejah,1,0,8
brean,1,0,5
brushaunda,1,0,10
garaya,1,0,6
janice,1,0,6
jesharae,1,0,8
keiarra,1,0,7
lois,1,0,4
martha,1,0,6
maxine,1,0,6
merita,1,0,6
nya,1,0,3
passion,1,0,7
quinetta,1,0,8
sarah,1,0,5
shantell,1,0,8
sherhonda,1,0,9
taneisha,1,0,8
victoria,1,0,8
yasema,1,0,6
irma,1,0,4
clarissa,1,0,8
leatha,1,0,6
shateria,1,0,8
terrika,1,0,7
liquanta,1,0,8
richardlyn,1,0,10
glory,1,0,5
jahmecca,1,0,8
deje,1,0,4
britney,1,0,7
bernice,1,0,7
euneka,1,0,6
karen,1,0,5
lace,1,0,4
lanses,1,0,6
ziedra,1,0,6
thewan,1,0,6
kourtney,1,0,8
byanca,1,0,6
charlyarta,1,0,10
cherelle,1,0,8
colony,1,0,6
daesha,1,0,6
dianeshia,1,0,9
johneka,1,0,7
kelly,1,0,5
laquinda,1,0,8
lashunda,1,0,8
latissha,1,0,8
mavis,1,0,5
michele,1,0,7
isha,1,0,4
nellie,1,0,6
regi,1,0,4
sebra,1,0,5
shamichael,1,0,10
shanika,1,0,7
shante,1,0,6
shernice,1,0,8
stacey,1,0,6
tikeshia,1,0,8
tri,1,0,3
vuzhuan,1,0,7
lucienne,1,0,8
tiphanie,1,0,8
alethia,1,0,7
bridgett,1,0,8
carrie,1,0,6
cherale,1,0,7
dih,1,0,3
ella,1,0,4
erika,1,0,5
jimetrice,1,0,9
johwa,1,0,5
jolyn,1,0,5
kanisha,1,0,7
lenise,1,0,6
letica,1,0,6
meagan,1,0,6
ora,1,0,3
patsy,1,0,5
rhoshun,1,0,7
ronsheilla,1,0,10
shaketa,1,0,7
shamika,1,0,7
tekia,1,0,5
telexsis,1,0,8
tonita,1,0,6
violet,1,0,6
yashica,1,0,7
susan,1,0,5
shirlene,1,0,8
mishka,1,0,6
brittiny,1,0,8
rol,1,0,3
sonja,1,0,5
quachee,1,0,7
shlonda,1,0,7
kathy,1,0,5
florida,1,0,7
vetra,1,0,5
neka,1,0,4
emon,1,0,4
geneva,1,0,6
constance,1,0,9
melody,1,0,6
teneque,1,0,7
delilah,1,0,7
relda,1,0,5
leo,1,0,3
carolyn,1,0,7
deyosha,1,0,7
jasmyne,1,0,7
kai,1,0,3
peggy,1,0,5
takeshia,1,0,8
erin,1,0,4
banet,1,0,5
stanchelle,1,0,10
deelgra,1,0,7
cecelia,1,0,7
ola,1,0,3
shaneque,1,0,8
glenda,1,0,6
shikee,1,0,6
laisha,1,0,6
lenora,1,0,6
luquantra,1,0,9
lashawn,1,0,7
leah,1,0,4
jacquelin,1,0,9
lasonya,1,0,7
travis,1,0,6
johnnie,1,0,7
shee,1,0,4
shani,1,0,5
artavia,1,0,7
athe,1,0,4
heather,1,0,7
lashon,1,0,6
lummie,1,0,6
olicia,1,0,6
tamaya,1,0,6
roisha,1,0,6
chalita,1,0,7
inger,1,0,5
alethea,1,0,7
latori,1,0,6
rakia,1,0,5
tynesha,1,0,7
valereese,1,0,9
desiree,1,0,7
khaliyah,1,0,8
dawin,1,0,5
lecreasha,1,0,9
lori,1,0,4
tamika,1,0,6
simone,1,0,6
mikecia,1,0,7
karnesia,1,0,8
sharese,1,0,7
shaquiondy,1,0,10
fonda,1,0,5
tivasha,1,0,7
gilbri,1,0,6
kizza,1,0,5
roseline,1,0,8
felia,1,0,5
doris,1,0,5
sable,1,0,5
antaneice,1,0,9
clevette,1,0,8
vanzetti,1,0,8
jacqueline,1,0,10
altaneca,1,0,8
letaskia,1,0,8
tequila,1,0,7
gwendaly,1,0,8
kalama,1,0,6
ryshawn,1,0,7
shanovia,1,0,8
laodai,1,0,6
shantavia,1,0,9
deloise,1,0,7
dia,1,0,3
lanora,1,0,6
thelma,1,0,6
qua shondri,1,0,11
tiachiquita,1,0,11
delshaughn,1,0,10
leondra,1,0,7
shanqual,1,0,8
kynnitha,1,0,8
antronique,1,0,10
demitria,1,0,8
