name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
saddam,0,3,6,0,0,sa,am,sad,dam
nikhleshwar bhagat,0,3,18,0,0,ni,at,nik,gat
jai singh,0,3,9,0,0,ja,gh,jai,ngh
sunil kumar,0,3,11,0,0,su,ar,sun,mar
ram kishan,0,3,10,0,0,ra,an,ram,han
virender,0,3,8,0,0,vi,er,vir,der
bishun,0,3,6,0,0,bi,un,bis,hun
pritam singh,0,3,12,0,0,pr,gh,pri,ngh
kishan,0,3,6,0,0,ki,an,kis,han
mohd kausar,0,3,11,0,0,mo,ar,moh,sar
harman singh,0,3,12,0,0,ha,gh,har,ngh
rajbir,0,3,6,0,0,ra,ir,raj,bir
vinod lal,0,3,9,0,0,vi,al,vin,lal
krishan,0,3,7,0,0,kr,an,kri,han
ram,0,3,3,0,0,ra,am,ram,ram
jony,0,3,4,0,0,jo,ny,jon,ony
mohammad ali,0,3,12,0,1,mo,li,moh,ali
ashok kumar,0,3,11,1,0,as,ar,ash,mar
ravinder,0,3,8,0,0,ra,er,rav,der
guman singh basyal,0,3,18,0,0,gu,al,gum,yal
amardeep,0,3,8,1,0,am,ep,ama,eep
bharat,0,3,6,0,0,bh,at,bha,rat
azaz,0,3,4,1,0,az,az,aza,zaz
raja kumar,0,3,10,0,0,ra,ar,raj,mar
parveen,0,3,7,0,0,pa,en,par,een
mahabir prasad,0,3,14,0,0,ma,ad,mah,sad
kartik,0,3,6,0,0,ka,ik,kar,tik
shubham yadav,0,3,13,0,0,sh,av,shu,dav
madan,0,3,5,0,0,ma,an,mad,dan
rashid,0,3,6,0,0,ra,id,ras,hid
jitender,0,3,8,0,0,ji,er,jit,der
pawan kumar,0,3,11,0,0,pa,ar,paw,mar
pintu kumar,0,3,11,0,0,pi,ar,pin,mar
deep,0,3,4,0,0,de,ep,dee,eep
dharmbir,0,3,8,0,0,dh,ir,dha,bir
rishi kakdia,0,3,12,0,1,ri,ia,ris,dia
kul,0,3,3,0,0,ku,ul,kul,kul
arman ansari,0,3,12,1,1,ar,ri,arm,ari
avinsh,0,3,6,1,0,av,sh,avi,nsh
karan,0,3,5,0,0,ka,an,kar,ran
sagar,0,3,5,0,0,sa,ar,sag,gar
nikhil,0,3,6,0,0,ni,il,nik,hil
raman,0,3,5,0,0,ra,an,ram,man
sujen manjhi,0,3,12,0,1,su,hi,suj,jhi
abhijeet,0,3,8,1,0,ab,et,abh,eet
anshu,0,3,5,1,1,an,hu,ans,shu
sahil,0,3,5,0,0,sa,il,sah,hil
aditya som,0,3,10,1,0,ad,om,adi,som
gaurav,0,3,6,0,0,ga,av,gau,rav
sunil,0,3,5,0,0,su,il,sun,nil
ravi kumar,0,3,10,0,0,ra,ar,rav,mar
shankar kumar,0,3,13,0,0,sh,ar,sha,mar
vishvash,0,3,8,0,0,vi,sh,vis,ash
sonia,0,3,5,0,1,so,ia,son,nia
kayamuddin,0,3,10,0,0,ka,in,kay,din
lala bhai,0,3,9,0,1,la,ai,lal,hai
kishan rai,0,3,10,0,1,ki,ai,kis,rai
mahender kumar,0,3,14,0,0,ma,ar,mah,mar
mohd afzal,0,3,10,0,0,mo,al,moh,zal
satender,0,3,8,0,0,sa,er,sat,der
shiv prasad singh,0,3,17,0,0,sh,gh,shi,ngh
mobin,0,3,5,0,0,mo,in,mob,bin
khokan sarkar,0,3,13,0,0,kh,ar,kho,kar
krisa braman,0,3,12,0,0,kr,an,kri,man
vipol,0,3,5,0,0,vi,ol,vip,pol
mohd miraj ansari,0,3,17,0,1,mo,ri,moh,ari
rajmani,0,3,7,0,1,ra,ni,raj,ani
harbir singh,0,3,12,0,0,ha,gh,har,ngh
mohan,0,3,5,0,0,mo,an,moh,han
farid,0,3,5,0,0,fa,id,far,rid
yuvraj kumar,0,3,12,0,0,yu,ar,yuv,mar
charan jeet singh,0,3,17,0,0,ch,gh,cha,ngh
satish kumar,0,3,12,0,0,sa,ar,sat,mar
gappu,0,3,5,0,1,ga,pu,gap,ppu
zeem,0,3,4,0,0,ze,em,zee,eem
aamir,0,3,5,1,0,aa,ir,aam,mir
vivek sharma,0,3,12,0,1,vi,ma,viv,rma
gutam,0,3,5,0,0,gu,am,gut,tam
prakul,0,3,6,0,0,pr,ul,pra,kul
birjesh,0,3,7,0,0,bi,sh,bir,esh
sahil tigga,0,3,11,0,1,sa,ga,sah,gga
girishi,0,3,7,0,1,gi,hi,gir,shi
pavan sharma,0,3,12,0,1,pa,ma,pav,rma
ikramuddin,0,3,10,1,0,ik,in,ikr,din
sajan,0,3,5,0,0,sa,an,saj,jan
molu,0,3,4,0,1,mo,lu,mol,olu
dilawar,0,3,7,0,0,di,ar,dil,war
val kishore,0,3,11,0,1,va,re,val,ore
ajahar,0,3,6,1,0,aj,ar,aja,har
sanjeev,0,3,7,0,0,sa,ev,san,eev
raman ralhan,0,3,12,0,0,ra,an,ram,han
prem,0,3,4,0,0,pr,em,pre,rem
ashish,0,3,6,1,0,as,sh,ash,ish
jang bahadur,0,3,12,0,0,ja,ur,jan,dur
parkash ahuja,0,3,13,0,1,pa,ja,par,uja
kamre alam,0,3,10,0,0,ka,am,kam,lam
satpal,0,3,6,0,0,sa,al,sat,pal
ram pyare,0,3,9,0,1,ra,re,ram,are
suraj singh,0,3,11,0,0,su,gh,sur,ngh
ashfaq,0,3,6,1,0,as,aq,ash,faq
shaid,0,3,5,0,0,sh,id,sha,aid
vikas gupta,0,3,11,0,1,vi,ta,vik,pta
vijay singh,0,3,11,0,0,vi,gh,vij,ngh
hari ram,0,3,8,0,0,ha,am,har,ram
manoj kumar,0,3,11,0,0,ma,ar,man,mar
parash das,0,3,10,0,0,pa,as,par,das
mehraj,0,3,6,0,0,me,aj,meh,raj
chetan,0,3,6,0,0,ch,an,che,tan
bhanwar lal,0,3,11,0,0,bh,al,bha,lal
savvar,0,3,6,0,0,sa,ar,sav,var
mustaq,0,3,6,0,0,mu,aq,mus,taq
ramkaran verma,0,3,14,0,1,ra,ma,ram,rma
mukhtyar hussain,0,3,16,0,0,mu,in,muk,ain
vakil,0,3,5,0,0,va,il,vak,kil
bilal malik,0,3,11,0,0,bi,ik,bil,lik
radheshyam sen,0,3,14,0,0,ra,en,rad,sen
mukesh,0,3,6,0,0,mu,sh,muk,esh
sunny,0,3,5,0,0,su,ny,sun,nny
jitender rajak,0,3,14,0,0,ji,ak,jit,jak
brahamprakash,0,3,13,0,0,br,sh,bra,ash
raju singh,0,3,10,0,0,ra,gh,raj,ngh
