name,gender,race,length,fl_is_v,ll_is_v,first_2,last_2,first_3,last_3
anne,1,2,4,1,1,an,ne,ann,nne
terry,1,2,5,0,0,te,ry,ter,rry
ann,1,2,3,1,0,an,nn,ann,ann
roberta,1,2,7,0,1,ro,ta,rob,rta
cynthia,1,2,7,0,1,cy,ia,cyn,hia
keila,1,2,5,0,1,ke,la,kei,ila
missa,1,2,5,0,1,mi,sa,mis,ssa
christin,1,2,8,0,0,ch,in,chr,tin
maricia,1,2,7,0,1,ma,ia,mar,cia
carrie,1,2,6,0,1,ca,ie,car,rie
sheryl,1,2,6,0,0,sh,yl,she,ryl
norma,1,2,5,0,1,no,ma,nor,rma
tricia,1,2,6,0,1,tr,ia,tri,cia
laurieann,1,2,9,0,0,la,nn,lau,ann
janine,1,2,6,0,1,ja,ne,jan,ine
misti,1,2,5,0,1,mi,ti,mis,sti
kay,1,2,3,0,0,ka,ay,kay,kay
lynnette,1,2,8,0,1,ly,te,lyn,tte
corrine,1,2,7,0,1,co,ne,cor,ine
lean,1,2,4,0,0,le,an,lea,ean
sunnie,1,2,6,0,1,su,ie,sun,nie
tawny,1,2,5,0,0,ta,ny,taw,wny
sunceree,1,2,8,0,1,su,ee,sun,ree
brittney,1,2,8,0,0,br,ey,bri,ney
jill,1,2,4,0,0,ji,ll,jil,ill
juanita,1,2,7,0,1,ju,ta,jua,ita
katri,1,2,5,0,1,ka,ri,kat,tri
bethany,1,2,7,0,0,be,ny,bet,any
taylor,1,2,6,0,0,ta,or,tay,lor
kendra,1,2,6,0,1,ke,ra,ken,dra
marianne,1,2,8,0,1,ma,ne,mar,nne
adi,1,2,3,1,1,ad,di,adi,adi
irasemis,1,2,8,1,0,ir,is,ira,mis
sheree,1,2,6,0,1,sh,ee,she,ree
cherish,1,2,7,0,0,ch,sh,che,ish
bonnie,1,2,6,0,1,bo,ie,bon,nie
alicia,1,2,6,1,1,al,ia,ali,cia
renee,1,2,5,0,1,re,ee,ren,nee
ariel,1,2,5,1,0,ar,el,ari,iel
betty,1,2,5,0,0,be,ty,bet,tty
bernice,1,2,7,0,1,be,ce,ber,ice
lynn,1,2,4,0,0,ly,nn,lyn,ynn
shane,1,2,5,0,1,sh,ne,sha,ane
valerie,1,2,7,0,1,va,ie,val,rie
clover,1,2,6,0,0,cl,er,clo,ver
aretha,1,2,6,1,1,ar,ha,are,tha
bazlyn,1,2,6,0,0,ba,yn,baz,lyn
yarden,1,2,6,0,0,ya,en,yar,den
veronica,1,2,8,0,1,ve,ca,ver,ica
burdette,1,2,8,0,1,bu,te,bur,tte
sara,1,2,4,0,1,sa,ra,sar,ara
joleen,1,2,6,0,0,jo,en,jol,een
kristin,1,2,7,0,0,kr,in,kri,tin
nichole,1,2,7,0,1,ni,le,nic,ole
sidney,1,2,6,0,0,si,ey,sid,ney
constance,1,2,9,0,1,co,ce,con,nce
shai,1,2,4,0,1,sh,ai,sha,hai
sheila,1,2,6,0,1,sh,la,she,ila
kacie,1,2,5,0,1,ka,ie,kac,cie
robin,1,2,5,0,0,ro,in,rob,bin
krissy,1,2,6,0,0,kr,sy,kri,ssy
don,1,2,3,0,0,do,on,don,don
dawn,1,2,4,0,0,da,wn,daw,awn
latesha,1,2,7,0,1,la,ha,lat,sha
elaine,1,2,6,1,1,el,ne,ela,ine
erika,1,2,5,1,1,er,ka,eri,ika
sabri,1,2,5,0,1,sa,ri,sab,bri
anmarie,1,2,7,1,1,an,ie,anm,rie
cydney,1,2,6,0,0,cy,ey,cyd,ney
ellen,1,2,5,1,0,el,en,ell,len
ginger,1,2,6,0,0,gi,er,gin,ger
josephine,1,2,9,0,1,jo,ne,jos,ine
lillian,1,2,7,0,0,li,an,lil,ian
misty,1,2,5,0,0,mi,ty,mis,sty
monta,1,2,5,0,1,mo,ta,mon,nta
talie,1,2,5,0,1,ta,ie,tal,lie
nikole,1,2,6,0,1,ni,le,nik,ole
phyllis,1,2,7,0,0,ph,is,phy,lis
shelly,1,2,6,0,0,sh,ly,she,lly
tracee,1,2,6,0,1,tr,ee,tra,cee
angelique,1,2,9,1,1,an,ue,ang,que
brenda,1,2,6,0,1,br,da,bre,nda
ruth,1,2,4,0,0,ru,th,rut,uth
bria,1,2,4,0,1,br,ia,bri,ria
sherie,1,2,6,0,1,sh,ie,she,rie
melody,1,2,6,0,0,me,dy,mel,ody
jeannie,1,2,7,0,1,je,ie,jea,nie
kei,1,2,3,0,1,ke,ei,kei,kei
teshia,1,2,6,0,1,te,ia,tes,hia
jenny,1,2,5,0,0,je,ny,jen,nny
cass,1,2,4,0,0,ca,ss,cas,ass
deborah,1,2,7,0,0,de,ah,deb,rah
susanne,1,2,7,0,1,su,ne,sus,nne
jackie,1,2,6,0,1,ja,ie,jac,kie
nickki,1,2,6,0,1,ni,ki,nic,kki
britinni,1,2,8,0,1,br,ni,bri,nni
sali,1,2,4,0,1,sa,li,sal,ali
mirinda,1,2,7,0,1,mi,da,mir,nda
casey,1,2,5,0,0,ca,ey,cas,sey
jaymie,1,2,6,0,1,ja,ie,jay,mie
leta,1,2,4,0,1,le,ta,let,eta
carla,1,2,5,0,1,ca,la,car,rla
tabaitha,1,2,8,0,1,ta,ha,tab,tha
victoria,1,2,8,0,1,vi,ia,vic,ria
suprea,1,2,6,0,1,su,ea,sup,rea
kristie,1,2,7,0,1,kr,ie,kri,tie
roxanne,1,2,7,0,1,ro,ne,rox,nne
jeannine,1,2,8,0,1,je,ne,jea,ine
tabatha,1,2,7,0,1,ta,ha,tab,tha
stefanie,1,2,8,0,1,st,ie,ste,nie
ivanka,1,2,6,1,1,iv,ka,iva,nka
zaida,1,2,5,0,1,za,da,zai,ida
kim,1,2,3,0,0,ki,im,kim,kim
earnestine,1,2,10,1,1,ea,ne,ear,ine
katherine,1,2,9,0,1,ka,ne,kat,ine
julia,1,2,5,0,1,ju,ia,jul,lia
janepsy,1,2,7,0,0,ja,sy,jan,psy
ida,1,2,3,1,1,id,da,ida,ida
chelsey,1,2,7,0,0,ch,ey,che,sey
kayleigh,1,2,8,0,0,ka,gh,kay,igh
alisha,1,2,6,1,1,al,ha,ali,sha
aimee,1,2,5,1,1,ai,ee,aim,mee
wyno,1,2,4,0,1,wy,no,wyn,yno
maggie,1,2,6,0,1,ma,ie,mag,gie
jessie,1,2,6,0,1,je,ie,jes,sie
bennie,1,2,6,0,1,be,ie,ben,nie
betsy,1,2,5,0,0,be,sy,bet,tsy
cory,1,2,4,0,0,co,ry,cor,ory
eleanor,1,2,7,1,0,el,or,ele,nor
jhodi,1,2,5,0,1,jh,di,jho,odi
talia,1,2,5,0,1,ta,ia,tal,lia
marion,1,2,6,0,0,ma,on,mar,ion
holly,1,2,5,0,0,ho,ly,hol,lly
zorai,1,2,5,0,1,zo,ai,zor,rai
joan,1,2,4,0,0,jo,an,joa,oan
silva,1,2,5,0,1,si,va,sil,lva
charla,1,2,6,0,1,ch,la,cha,rla
alice,1,2,5,1,1,al,ce,ali,ice
isis,1,2,4,1,0,is,is,isi,sis
jannifer,1,2,8,0,0,ja,er,jan,fer
sivia,1,2,5,0,1,si,ia,siv,via
beth,1,2,4,0,0,be,th,bet,eth
rebekah,1,2,7,0,0,re,ah,reb,kah
savanh,1,2,6,0,0,sa,nh,sav,anh
tamra,1,2,5,0,1,ta,ra,tam,mra
emilia,1,2,6,1,1,em,ia,emi,lia
judith,1,2,6,0,0,ju,th,jud,ith
sonia,1,2,5,0,1,so,ia,son,nia
evelyn,1,2,6,1,0,ev,yn,eve,lyn
megan,1,2,5,0,0,me,an,meg,gan
sela,1,2,4,0,1,se,la,sel,ela
rhean,1,2,5,0,0,rh,an,rhe,ean
cas,1,2,3,0,0,ca,as,cas,cas
georgan,1,2,7,0,0,ge,an,geo,gan
regi,1,2,4,0,1,re,gi,reg,egi
