name,gender,race,length
moises s,0,1,8
nicholas,0,1,8
oscar m,0,1,7
rafael e,0,1,8
ruben j jr,0,1,10
sael o,0,1,6
thomas,0,1,6
tomas m,0,1,7
wense a,0,1,7
osmaidy,0,1,7
gervacio,0,1,8
leobel,0,1,6
marlon a,0,1,8
wilson,0,1,6
fidel g,0,1,7
santos g,0,1,8
edgardo j,0,1,9
lucas,0,1,5
walter x,0,1,8
san f,0,1,5
franklin,0,1,8
raphael,0,1,7
gayle j,0,1,7
julian g,0,1,8
joshua a,0,1,8
rufino t,0,1,8
federico jr,0,1,11
jourki,0,1,6
lorenzo,0,1,7
yan,0,1,3
ernesto t,0,1,9
rey d,0,1,5
sebastian,0,1,9
jiverto,0,1,7
nolbin s,0,1,8
christian s,0,1,11
felipe d,0,1,8
jose v iii,0,1,10
gersu,0,1,5
erick a,0,1,7
frank f,0,1,7
kirk m,0,1,6
mitch,0,1,5
saul c,0,1,6
alberto f,0,1,9
charles,0,1,7
christopher m,0,1,13
geraldo l,0,1,9
gilbert m,0,1,9
gustavo a,0,1,9
jenfry a,0,1,8
norwin,0,1,6
richard jr,0,1,10
ronny,0,1,5
valentin b,0,1,10
etienne,0,1,7
ruben h,0,1,7
ozzie r,0,1,7
benjamin jr,0,1,11
daylan e,0,1,8
diosdado jr,0,1,11
dusty j,0,1,7
edward m,0,1,8
elmer o,0,1,7
enrique m,0,1,9
isaac s,0,1,7
jesus g,0,1,7
joel r,0,1,6
jorge b,0,1,7
josue g,0,1,7
julian jr,0,1,9
leonel,0,1,6
luke,0,1,4
mainor,0,1,6
maxtan d,0,1,8
pedro h,0,1,7
pedro r,0,1,7
rafael a jr,0,1,11
rogeli,0,1,6
ruben jr,0,1,8
ruperto a,0,1,9
saul,0,1,4
sixto,0,1,5
stephen,0,1,7
ulises m,0,1,8
yovanny d,0,1,9
yuany,0,1,5
yumisani,0,1,8
omar,0,1,4
carlos p,0,1,8
marco e,0,1,7
samir,0,1,5
victor l,0,1,8
cornelio,0,1,8
marcelino,0,1,9
derrick,0,1,7
danielito c,0,1,11
francisco jr,0,1,12
lorenzo j,0,1,9
jay t,0,1,5
jothan b,0,1,8
willie m,0,1,8
nichlas,0,1,7
jenz w,0,1,6
heriberto,0,1,9
francisco a,0,1,11
jackson,0,1,7
joel j,0,1,6
edi,0,1,3
anthony m,0,1,9
cyril,0,1,5
sergio jr,0,1,9
christian n,0,1,11
ruddy j,0,1,7
danilo,0,1,6
emilio v,0,1,8
jose g,0,1,6
lazarro j,0,1,9
silvio,0,1,6
luis g,0,1,6
ramiro b,0,1,8
aniceto b sr,0,1,12
bertin,0,1,6
karl w,0,1,6
eliazar jr,0,1,10
asuncion,0,1,8
cimitrio,0,1,8
jesus p,0,1,7
antonio j,0,1,9
darwin j,0,1,8
ebenezer r,0,1,10
elpidio,0,1,7
